plan,megye,valasztopolgar,target_votes,opponent_votes,target_pct,opponent_pct,target_margin_pct,target_wins,polsby_popper,bp_keruletek
eredeti_oevk,BUDAPEST,54235.0,26617.0,13180.0,66.882,33.118,33.764,True,0.2595,bp_001;bp_005;bp_006;bp_007;bp_011;bp_012
eredeti_oevk,BUDAPEST,59616.0,28049.0,12746.0,68.756,31.244,37.512,True,0.6218,bp_005;bp_008;bp_009
eredeti_oevk,BUDAPEST,54140.0,30025.0,13477.0,69.02,30.98,38.04,True,0.3767,bp_011;bp_012
eredeti_oevk,BUDAPEST,65170.0,36244.0,15932.0,69.465,30.535,38.93,True,0.2936,bp_002;bp_003
eredeti_oevk,BUDAPEST,60161.0,33743.0,11885.0,73.952,26.048,47.905,True,0.5715,bp_006;bp_013
eredeti_oevk,BUDAPEST,66589.0,35923.0,13910.0,72.087,27.913,44.174,True,0.396,bp_007;bp_014;bp_015
eredeti_oevk,BUDAPEST,65548.0,34341.0,14673.0,70.064,29.936,40.127,True,0.5787,bp_008;bp_010;bp_014
eredeti_oevk,BUDAPEST,71592.0,36181.0,17097.0,67.91,32.09,35.82,True,0.4062,bp_009;bp_018;bp_019
eredeti_oevk,BUDAPEST,64406.0,31629.0,14772.0,68.164,31.836,36.329,True,0.2316,bp_009;bp_011;bp_020;bp_021
eredeti_oevk,BUDAPEST,61842.0,33686.0,15048.0,69.122,30.878,38.244,True,0.3175,bp_011;bp_022
eredeti_oevk,BUDAPEST,64847.0,35291.0,14836.0,70.403,29.597,40.806,True,0.2382,bp_003
eredeti_oevk,BUDAPEST,55928.0,29777.0,12030.0,71.225,28.775,42.45,True,0.3722,bp_004;bp_013
eredeti_oevk,BUDAPEST,59337.0,30902.0,13901.0,68.973,31.027,37.946,True,0.4481,bp_004;bp_015
eredeti_oevk,BUDAPEST,64266.0,34338.0,16675.0,67.312,32.688,34.625,True,0.4284,bp_010;bp_016;bp_018
eredeti_oevk,BUDAPEST,76168.0,39811.0,19855.0,66.723,33.277,33.446,True,0.475,bp_017;bp_018
eredeti_oevk,BUDAPEST,55760.0,27689.0,13788.0,66.757,33.243,33.515,True,0.3767,bp_018;bp_020;bp_023
eredeti_oevk,BARANYA,68562.0,34165.0,15725.0,68.481,31.519,36.961,True,0.3035,
eredeti_oevk,BARANYA,69082.0,31846.0,16353.0,66.072,33.928,32.144,True,0.1682,
eredeti_oevk,BARANYA,68656.0,24381.0,20467.0,54.364,45.636,8.727,True,0.1521,
eredeti_oevk,BARANYA,73779.0,27434.0,22308.0,55.153,44.847,10.305,True,0.2339,
eredeti_oevk,BÁCS-KISKUN,67131.0,27076.0,20792.0,56.564,43.436,13.128,True,0.2936,
eredeti_oevk,BÁCS-KISKUN,66440.0,29924.0,18882.0,61.312,38.688,22.624,True,0.2102,
eredeti_oevk,BÁCS-KISKUN,63227.0,25071.0,19803.0,55.87,44.13,11.74,True,0.3145,
eredeti_oevk,BÁCS-KISKUN,70064.0,26816.0,22265.0,54.636,45.364,9.272,True,0.2238,
eredeti_oevk,BÁCS-KISKUN,65594.0,24286.0,18452.0,56.825,43.175,13.651,True,0.3481,
eredeti_oevk,BÁCS-KISKUN,62134.0,24195.0,18001.0,57.34,42.66,14.679,True,0.2301,
eredeti_oevk,BÉKÉS,66018.0,31088.0,17224.0,64.348,35.652,28.697,True,0.297,
eredeti_oevk,BÉKÉS,66392.0,26131.0,19631.0,57.102,42.898,14.204,True,0.2342,
eredeti_oevk,BÉKÉS,65259.0,26142.0,19544.0,57.221,42.779,14.442,True,0.1599,
eredeti_oevk,BÉKÉS,68148.0,27941.0,18187.0,60.573,39.427,21.146,True,0.3474,
eredeti_oevk,BORSOD-ABAÚJ-ZEMPLÉN,60489.0,28771.0,15000.0,65.731,34.269,31.461,True,0.2263,
eredeti_oevk,BORSOD-ABAÚJ-ZEMPLÉN,60384.0,27944.0,14181.0,66.336,33.664,32.672,True,0.3846,
eredeti_oevk,BORSOD-ABAÚJ-ZEMPLÉN,67593.0,20765.0,19829.0,51.153,48.847,2.306,True,0.2163,
eredeti_oevk,BORSOD-ABAÚJ-ZEMPLÉN,71308.0,27557.0,18906.0,59.31,40.69,18.619,True,0.2115,
eredeti_oevk,BORSOD-ABAÚJ-ZEMPLÉN,70017.0,24939.0,20918.0,54.384,45.616,8.769,True,0.1878,
eredeti_oevk,BORSOD-ABAÚJ-ZEMPLÉN,73582.0,29344.0,21660.0,57.533,42.467,15.065,True,0.1867,
eredeti_oevk,BORSOD-ABAÚJ-ZEMPLÉN,74213.0,29957.0,21249.0,58.503,41.497,17.006,True,0.3441,
eredeti_oevk,CSONGRÁD-CSANÁD,84317.0,46114.0,16664.0,73.456,26.544,46.911,True,0.2988,
eredeti_oevk,CSONGRÁD-CSANÁD,70612.0,31336.0,18413.0,62.988,37.012,25.976,True,0.2982,
eredeti_oevk,CSONGRÁD-CSANÁD,77761.0,33300.0,21855.0,60.375,39.625,20.751,True,0.3468,
eredeti_oevk,CSONGRÁD-CSANÁD,76377.0,35760.0,19899.0,64.248,35.752,28.497,True,0.3381,
eredeti_oevk,FEJÉR,70861.0,33501.0,20736.0,61.768,38.232,23.536,True,0.3196,
eredeti_oevk,FEJÉR,64178.0,28367.0,19671.0,59.051,40.949,18.102,True,0.2853,
eredeti_oevk,FEJÉR,69238.0,30998.0,21575.0,58.962,41.038,17.924,True,0.292,
eredeti_oevk,FEJÉR,66728.0,31034.0,17174.0,64.375,35.625,28.75,True,0.3015,
eredeti_oevk,FEJÉR,65460.0,22161.0,22585.0,49.526,50.474,-0.948,False,0.3163,
eredeti_oevk,GYŐR-MOSON-SOPRON,57870.0,28275.0,15570.0,64.489,35.511,28.977,True,0.3547,
eredeti_oevk,GYŐR-MOSON-SOPRON,74095.0,33409.0,22991.0,59.236,40.764,18.472,True,0.1749,
eredeti_oevk,GYŐR-MOSON-SOPRON,66632.0,24570.0,26240.0,48.357,51.643,-3.287,False,0.2272,
eredeti_oevk,GYŐR-MOSON-SOPRON,75117.0,33069.0,24764.0,57.18,42.82,14.36,True,0.2222,
eredeti_oevk,GYŐR-MOSON-SOPRON,78546.0,34091.0,25474.0,57.233,42.767,14.467,True,0.3648,
eredeti_oevk,HAJDÚ-BIHAR,59669.0,30505.0,15717.0,65.997,34.003,31.993,True,0.3883,
eredeti_oevk,HAJDÚ-BIHAR,54695.0,25422.0,14478.0,63.714,36.286,27.429,True,0.4243,
eredeti_oevk,HAJDÚ-BIHAR,68932.0,24499.0,21133.0,53.688,46.312,7.376,True,0.2053,
eredeti_oevk,HAJDÚ-BIHAR,67070.0,21380.0,22250.0,49.003,50.997,-1.994,False,0.3577,
eredeti_oevk,HAJDÚ-BIHAR,68301.0,25760.0,21458.0,54.555,45.445,9.111,True,0.3073,
eredeti_oevk,HAJDÚ-BIHAR,68093.0,26996.0,19557.0,57.99,42.01,15.98,True,0.3704,
eredeti_oevk,HEVES,79000.0,34983.0,22631.0,60.72,39.28,21.439,True,0.2719,
eredeti_oevk,HEVES,74007.0,30080.0,22258.0,57.473,42.527,14.945,True,0.1989,
eredeti_oevk,HEVES,78352.0,30511.0,23847.0,56.13,43.87,12.259,True,0.1631,
eredeti_oevk,JÁSZ-NAGYKUN-SZOLNOK,74779.0,35137.0,18934.0,64.983,35.017,29.966,True,0.214,
eredeti_oevk,JÁSZ-NAGYKUN-SZOLNOK,69530.0,26530.0,21662.0,55.051,44.949,10.101,True,0.3057,
eredeti_oevk,JÁSZ-NAGYKUN-SZOLNOK,72187.0,24314.0,23947.0,50.38,49.62,0.76,True,0.3513,
eredeti_oevk,JÁSZ-NAGYKUN-SZOLNOK,71419.0,28610.0,19359.0,59.643,40.357,19.285,True,0.2363,
eredeti_oevk,KOMÁROM-ESZTERGOM,77400.0,36824.0,19882.0,64.938,35.062,29.877,True,0.2734,
eredeti_oevk,KOMÁROM-ESZTERGOM,80817.0,36091.0,22002.0,62.126,37.874,24.252,True,0.4263,
eredeti_oevk,KOMÁROM-ESZTERGOM,81087.0,33373.0,25029.0,57.144,42.856,14.287,True,0.2552,
eredeti_oevk,NÓGRÁD,71832.0,27194.0,21702.0,55.616,44.384,11.232,True,0.1914,
eredeti_oevk,NÓGRÁD,77051.0,26373.0,26014.0,50.343,49.657,0.685,True,0.1964,
eredeti_oevk,PEST,79671.0,40106.0,21061.0,65.568,34.432,31.136,True,0.532,
eredeti_oevk,PEST,77871.0,41804.0,19539.0,68.148,31.852,36.296,True,0.2929,
eredeti_oevk,PEST,81963.0,40049.0,23197.0,63.323,36.677,26.645,True,0.2381,
eredeti_oevk,PEST,76341.0,35408.0,23139.0,60.478,39.522,20.956,True,0.2995,
eredeti_oevk,PEST,75965.0,41346.0,18743.0,68.808,31.192,37.616,True,0.4103,
eredeti_oevk,PEST,76890.0,40117.0,20556.0,66.12,33.88,32.24,True,0.5576,
eredeti_oevk,PEST,76365.0,32691.0,23289.0,58.398,41.602,16.795,True,0.3852,
eredeti_oevk,PEST,70425.0,33910.0,18666.0,64.497,35.503,28.994,True,0.4088,
eredeti_oevk,PEST,76078.0,32706.0,22473.0,59.273,40.727,18.545,True,0.3799,
eredeti_oevk,PEST,74474.0,37903.0,18151.0,67.619,32.381,35.237,True,0.3897,
eredeti_oevk,PEST,74824.0,33838.0,22738.0,59.81,40.19,19.62,True,0.4502,
eredeti_oevk,PEST,73910.0,28090.0,22613.0,55.401,44.599,10.802,True,0.3689,
eredeti_oevk,PEST,70090.0,27417.0,21739.0,55.775,44.225,11.551,True,0.453,
eredeti_oevk,PEST,73447.0,28795.0,22122.0,56.553,43.447,13.106,True,0.5462,
eredeti_oevk,SOMOGY,59107.0,27009.0,16120.0,62.624,37.376,25.248,True,0.292,
eredeti_oevk,SOMOGY,57032.0,20242.0,18031.0,52.888,47.112,5.777,True,0.1806,
eredeti_oevk,SOMOGY,60980.0,22538.0,20698.0,52.128,47.872,4.256,True,0.3915,
eredeti_oevk,SOMOGY,63489.0,25736.0,20458.0,55.713,44.287,11.426,True,0.3199,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,67980.0,34756.0,16671.0,67.583,32.417,35.166,True,0.3547,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,68667.0,26485.0,20048.0,56.917,43.083,13.833,True,0.2249,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,75646.0,28097.0,23942.0,53.992,46.008,7.984,True,0.2556,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,70012.0,20874.0,25840.0,44.685,55.315,-10.631,False,0.1914,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,70903.0,21893.0,25593.0,46.104,53.896,-7.792,False,0.1991,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,70407.0,23945.0,24759.0,49.164,50.836,-1.671,False,0.2571,
eredeti_oevk,TOLNA,57093.0,22758.0,17908.0,55.963,44.037,11.926,True,0.3036,
eredeti_oevk,TOLNA,56292.0,19960.0,18641.0,51.709,48.291,3.417,True,0.1462,
eredeti_oevk,TOLNA,56773.0,20766.0,19344.0,51.773,48.227,3.545,True,0.1737,
eredeti_oevk,VAS,67196.0,31379.0,20953.0,59.961,40.039,19.923,True,0.3035,
eredeti_oevk,VAS,66913.0,26420.0,24762.0,51.62,48.38,3.239,True,0.2157,
eredeti_oevk,VAS,64940.0,22982.0,25830.0,47.083,52.917,-5.835,False,0.1598,
eredeti_oevk,VESZPRÉM,68896.0,33445.0,18465.0,64.429,35.571,28.858,True,0.2429,
eredeti_oevk,VESZPRÉM,73584.0,34018.0,20742.0,62.122,37.878,24.244,True,0.2379,
eredeti_oevk,VESZPRÉM,65381.0,27847.0,20131.0,58.041,41.959,16.082,True,0.2542,
eredeti_oevk,VESZPRÉM,66523.0,24978.0,22843.0,52.232,47.768,4.465,True,0.1904,
eredeti_oevk,ZALA,72857.0,31667.0,23786.0,57.106,42.894,14.212,True,0.3363,
eredeti_oevk,ZALA,72849.0,28032.0,25288.0,52.573,47.427,5.146,True,0.3273,
eredeti_oevk,ZALA,69407.0,29869.0,20481.0,59.323,40.677,18.645,True,0.264,
szimulalt_recom,BÁCS-KISKUN,67131.0,27076.0,20792.0,56.564,43.436,13.128,True,0.2936,
szimulalt_recom,BÁCS-KISKUN,66440.0,29924.0,18882.0,61.312,38.688,22.624,True,0.2102,
szimulalt_recom,BÁCS-KISKUN,63227.0,25071.0,19803.0,55.87,44.13,11.74,True,0.3145,
szimulalt_recom,BÁCS-KISKUN,70064.0,26816.0,22265.0,54.636,45.364,9.272,True,0.2238,
szimulalt_recom,BÁCS-KISKUN,65594.0,24286.0,18452.0,56.825,43.175,13.651,True,0.3481,
szimulalt_recom,BÁCS-KISKUN,62134.0,24195.0,18001.0,57.34,42.66,14.679,True,0.2301,
szimulalt_recom,BARANYA,68562.0,34165.0,15725.0,68.481,31.519,36.961,True,0.3035,
szimulalt_recom,BARANYA,69082.0,31846.0,16353.0,66.072,33.928,32.144,True,0.1682,
szimulalt_recom,BARANYA,68656.0,24381.0,20467.0,54.364,45.636,8.727,True,0.1521,
szimulalt_recom,BARANYA,73779.0,27434.0,22308.0,55.153,44.847,10.305,True,0.2339,
szimulalt_recom,BÉKÉS,66018.0,31088.0,17224.0,64.348,35.652,28.697,True,0.297,
szimulalt_recom,BÉKÉS,66392.0,26131.0,19631.0,57.102,42.898,14.204,True,0.2342,
szimulalt_recom,BÉKÉS,65259.0,26142.0,19544.0,57.221,42.779,14.442,True,0.1599,
szimulalt_recom,BÉKÉS,68148.0,27941.0,18187.0,60.573,39.427,21.146,True,0.3474,
szimulalt_recom,BORSOD-ABAÚJ-ZEMPLÉN,60489.0,28771.0,15000.0,65.731,34.269,31.461,True,0.2263,
szimulalt_recom,BORSOD-ABAÚJ-ZEMPLÉN,60384.0,27944.0,14181.0,66.336,33.664,32.672,True,0.3846,
szimulalt_recom,BORSOD-ABAÚJ-ZEMPLÉN,67593.0,20765.0,19829.0,51.153,48.847,2.306,True,0.2163,
szimulalt_recom,BORSOD-ABAÚJ-ZEMPLÉN,71308.0,27557.0,18906.0,59.31,40.69,18.619,True,0.2115,
szimulalt_recom,BORSOD-ABAÚJ-ZEMPLÉN,70017.0,24939.0,20918.0,54.384,45.616,8.769,True,0.1878,
szimulalt_recom,BORSOD-ABAÚJ-ZEMPLÉN,73582.0,29344.0,21660.0,57.533,42.467,15.065,True,0.1867,
szimulalt_recom,BORSOD-ABAÚJ-ZEMPLÉN,74213.0,29957.0,21249.0,58.503,41.497,17.006,True,0.3441,
szimulalt_recom,BUDAPEST,54235.0,26617.0,13180.0,66.882,33.118,33.764,True,0.2595,bp_001;bp_005;bp_006;bp_007;bp_011;bp_012
szimulalt_recom,BUDAPEST,59616.0,28049.0,12746.0,68.756,31.244,37.512,True,0.6218,bp_005;bp_008;bp_009
szimulalt_recom,BUDAPEST,54140.0,30025.0,13477.0,69.02,30.98,38.04,True,0.3767,bp_011;bp_012
szimulalt_recom,BUDAPEST,65170.0,36244.0,15932.0,69.465,30.535,38.93,True,0.2936,bp_002;bp_003
szimulalt_recom,BUDAPEST,60161.0,33743.0,11885.0,73.952,26.048,47.905,True,0.5715,bp_006;bp_013
szimulalt_recom,BUDAPEST,66589.0,35923.0,13910.0,72.087,27.913,44.174,True,0.396,bp_007;bp_014;bp_015
szimulalt_recom,BUDAPEST,65548.0,34341.0,14673.0,70.064,29.936,40.127,True,0.5787,bp_008;bp_010;bp_014
szimulalt_recom,BUDAPEST,71592.0,36181.0,17097.0,67.91,32.09,35.82,True,0.4062,bp_009;bp_018;bp_019
szimulalt_recom,BUDAPEST,64406.0,31629.0,14772.0,68.164,31.836,36.329,True,0.2316,bp_009;bp_011;bp_020;bp_021
szimulalt_recom,BUDAPEST,61842.0,33686.0,15048.0,69.122,30.878,38.244,True,0.3175,bp_011;bp_022
szimulalt_recom,BUDAPEST,64847.0,35291.0,14836.0,70.403,29.597,40.806,True,0.2382,bp_003
szimulalt_recom,BUDAPEST,55928.0,29777.0,12030.0,71.225,28.775,42.45,True,0.3722,bp_004;bp_013
szimulalt_recom,BUDAPEST,59337.0,30902.0,13901.0,68.973,31.027,37.946,True,0.4481,bp_004;bp_015
szimulalt_recom,BUDAPEST,64266.0,34338.0,16675.0,67.312,32.688,34.625,True,0.4284,bp_010;bp_016;bp_018
szimulalt_recom,BUDAPEST,76168.0,39811.0,19855.0,66.723,33.277,33.446,True,0.475,bp_017;bp_018
szimulalt_recom,BUDAPEST,55760.0,27689.0,13788.0,66.757,33.243,33.515,True,0.3767,bp_018;bp_020;bp_023
szimulalt_recom,CSONGRÁD-CSANÁD,84317.0,46114.0,16664.0,73.456,26.544,46.911,True,0.2988,
szimulalt_recom,CSONGRÁD-CSANÁD,70612.0,31336.0,18413.0,62.988,37.012,25.976,True,0.2982,
szimulalt_recom,CSONGRÁD-CSANÁD,77761.0,33300.0,21855.0,60.375,39.625,20.751,True,0.3468,
szimulalt_recom,CSONGRÁD-CSANÁD,76377.0,35760.0,19899.0,64.248,35.752,28.497,True,0.3381,
szimulalt_recom,FEJÉR,62491.0,25483.0,19509.0,56.639,43.361,13.278,True,0.268,
szimulalt_recom,FEJÉR,64178.0,28367.0,19671.0,59.051,40.949,18.102,True,0.2853,
szimulalt_recom,FEJÉR,69238.0,30998.0,21575.0,58.962,41.038,17.924,True,0.292,
szimulalt_recom,FEJÉR,66728.0,31034.0,17174.0,64.375,35.625,28.75,True,0.3015,
szimulalt_recom,FEJÉR,73830.0,30179.0,23812.0,55.896,44.104,11.793,True,0.248,
szimulalt_recom,GYŐR-MOSON-SOPRON,78899.0,34286.0,26339.0,56.554,43.446,13.108,True,0.2256,
szimulalt_recom,GYŐR-MOSON-SOPRON,62695.0,26024.0,20894.0,55.467,44.533,10.934,True,0.3374,
szimulalt_recom,GYŐR-MOSON-SOPRON,62102.0,24608.0,23349.0,51.313,48.687,2.625,True,0.1689,
szimulalt_recom,GYŐR-MOSON-SOPRON,76329.0,33438.0,23673.0,58.549,41.451,17.098,True,0.1553,
szimulalt_recom,GYŐR-MOSON-SOPRON,72235.0,35058.0,20784.0,62.781,37.219,25.561,True,0.2244,
szimulalt_recom,HAJDÚ-BIHAR,59974.0,21517.0,18832.0,53.327,46.673,6.654,True,0.1398,
szimulalt_recom,HAJDÚ-BIHAR,67447.0,22387.0,22276.0,50.124,49.876,0.249,True,0.2549,
szimulalt_recom,HAJDÚ-BIHAR,58434.0,21333.0,17698.0,54.657,45.343,9.313,True,0.1922,
szimulalt_recom,HAJDÚ-BIHAR,66262.0,24597.0,20074.0,55.063,44.937,10.125,True,0.189,
szimulalt_recom,HAJDÚ-BIHAR,70378.0,35197.0,18655.0,65.359,34.641,30.718,True,0.3415,
szimulalt_recom,HAJDÚ-BIHAR,64265.0,29531.0,17058.0,63.386,36.614,26.772,True,0.2422,
szimulalt_recom,HEVES,79000.0,34983.0,22631.0,60.72,39.28,21.439,True,0.2719,
szimulalt_recom,HEVES,74007.0,30080.0,22258.0,57.473,42.527,14.945,True,0.1989,
szimulalt_recom,HEVES,78352.0,30511.0,23847.0,56.13,43.87,12.259,True,0.1631,
szimulalt_recom,JÁSZ-NAGYKUN-SZOLNOK,74779.0,35137.0,18934.0,64.983,35.017,29.966,True,0.214,
szimulalt_recom,JÁSZ-NAGYKUN-SZOLNOK,69530.0,26530.0,21662.0,55.051,44.949,10.101,True,0.3057,
szimulalt_recom,JÁSZ-NAGYKUN-SZOLNOK,72187.0,24314.0,23947.0,50.38,49.62,0.76,True,0.3513,
szimulalt_recom,JÁSZ-NAGYKUN-SZOLNOK,71419.0,28610.0,19359.0,59.643,40.357,19.285,True,0.2363,
szimulalt_recom,KOMÁROM-ESZTERGOM,77400.0,36824.0,19882.0,64.938,35.062,29.877,True,0.2734,
szimulalt_recom,KOMÁROM-ESZTERGOM,80817.0,36091.0,22002.0,62.126,37.874,24.252,True,0.4263,
szimulalt_recom,KOMÁROM-ESZTERGOM,81087.0,33373.0,25029.0,57.144,42.856,14.287,True,0.2552,
szimulalt_recom,NÓGRÁD,71832.0,27194.0,21702.0,55.616,44.384,11.232,True,0.1914,
szimulalt_recom,NÓGRÁD,77051.0,26373.0,26014.0,50.343,49.657,0.685,True,0.1964,
szimulalt_recom,PEST,79671.0,40106.0,21061.0,65.568,34.432,31.136,True,0.532,
szimulalt_recom,PEST,77871.0,41804.0,19539.0,68.148,31.852,36.296,True,0.2929,
szimulalt_recom,PEST,81963.0,40049.0,23197.0,63.323,36.677,26.645,True,0.2381,
szimulalt_recom,PEST,76341.0,35408.0,23139.0,60.478,39.522,20.956,True,0.2995,
szimulalt_recom,PEST,75965.0,41346.0,18743.0,68.808,31.192,37.616,True,0.4103,
szimulalt_recom,PEST,76890.0,40117.0,20556.0,66.12,33.88,32.24,True,0.5576,
szimulalt_recom,PEST,76365.0,32691.0,23289.0,58.398,41.602,16.795,True,0.3852,
szimulalt_recom,PEST,70425.0,33910.0,18666.0,64.497,35.503,28.994,True,0.4088,
szimulalt_recom,PEST,76078.0,32706.0,22473.0,59.273,40.727,18.545,True,0.3799,
szimulalt_recom,PEST,74474.0,37903.0,18151.0,67.619,32.381,35.237,True,0.3897,
szimulalt_recom,PEST,74824.0,33838.0,22738.0,59.81,40.19,19.62,True,0.4502,
szimulalt_recom,PEST,73910.0,28090.0,22613.0,55.401,44.599,10.802,True,0.3689,
szimulalt_recom,PEST,70090.0,27417.0,21739.0,55.775,44.225,11.551,True,0.453,
szimulalt_recom,PEST,73447.0,28795.0,22122.0,56.553,43.447,13.106,True,0.5462,
szimulalt_recom,SOMOGY,59107.0,27009.0,16120.0,62.624,37.376,25.248,True,0.292,
szimulalt_recom,SOMOGY,57032.0,20242.0,18031.0,52.888,47.112,5.777,True,0.1806,
szimulalt_recom,SOMOGY,60980.0,22538.0,20698.0,52.128,47.872,4.256,True,0.3915,
szimulalt_recom,SOMOGY,63489.0,25736.0,20458.0,55.713,44.287,11.426,True,0.3199,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,71447.0,30533.0,21576.0,58.594,41.406,17.189,True,0.1683,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,71180.0,19359.0,26748.0,41.987,58.013,-16.026,False,0.1498,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,71608.0,25424.0,24467.0,50.959,49.041,1.918,True,0.1585,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,69223.0,24469.0,23279.0,51.246,48.754,2.492,True,0.2724,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,69533.0,27287.0,20697.0,56.867,43.133,13.734,True,0.1834,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,70624.0,28978.0,20086.0,59.062,40.938,18.123,True,0.3273,
szimulalt_recom,TOLNA,57093.0,22758.0,17908.0,55.963,44.037,11.926,True,0.3036,
szimulalt_recom,TOLNA,56292.0,19960.0,18641.0,51.709,48.291,3.417,True,0.1462,
szimulalt_recom,TOLNA,56773.0,20766.0,19344.0,51.773,48.227,3.545,True,0.1737,
szimulalt_recom,VAS,66299.0,31037.0,20610.0,60.094,39.906,20.189,True,0.2966,
szimulalt_recom,VAS,66678.0,26352.0,24657.0,51.661,48.339,3.323,True,0.219,
szimulalt_recom,VAS,66072.0,23392.0,26278.0,47.095,52.905,-5.81,False,0.1645,
szimulalt_recom,VESZPRÉM,68896.0,33445.0,18465.0,64.429,35.571,28.858,True,0.2429,
szimulalt_recom,VESZPRÉM,73584.0,34018.0,20742.0,62.122,37.878,24.244,True,0.2379,
szimulalt_recom,VESZPRÉM,65381.0,27847.0,20131.0,58.041,41.959,16.082,True,0.2542,
szimulalt_recom,VESZPRÉM,66523.0,24978.0,22843.0,52.232,47.768,4.465,True,0.1904,
szimulalt_recom,ZALA,72857.0,31667.0,23786.0,57.106,42.894,14.212,True,0.3363,
szimulalt_recom,ZALA,72849.0,28032.0,25288.0,52.573,47.427,5.146,True,0.3273,
szimulalt_recom,ZALA,69407.0,29869.0,20481.0,59.323,40.677,18.645,True,0.264,
