telepules,valasztopolgar,megjelent,ervenyes,fidesz_szavazat,tisza_szavazat
Szulimán,162,132,132,56,61
Szulok,445,344,334,115,143
Szurdokpüspöki,1477,1193,1188,498,535
Szágy,91,70,70,42,28
Szákszend,1184,925,924,390,465
Szálka,484,401,398,119,222
Szántód,549,448,446,184,231
Szápár,389,324,320,143,130
Szár,1349,1166,1160,393,542
Szárazd,153,118,115,69,26
Szárföld,818,656,655,337,260
Szárliget,1926,1628,1625,482,970
Szárász,32,20,20,8,10
Szászberek,762,661,660,242,350
Szászfa,76,53,50,22,24
Szászvár,1830,1364,1351,387,794
Szátok,355,218,212,129,53
Százhalombatta,13926,11587,11544,3530,7052
Szécsisziget,159,135,134,42,82
Szécsénke,165,143,142,74,56
Szécsény,4158,3310,3276,1362,1578
Szécsényfelfalu,324,236,234,126,80
Székely,738,490,478,243,204
Székelyszabar,438,321,316,106,118
Székesfehérvár,75267,63730,63437,20886,37399
Székkutas,1610,1329,1322,477,714
Szólád,420,367,367,171,166
Szögliget,455,358,356,169,162
Szörény,56,41,40,17,19
Szúcs,270,187,186,113,66
Szügy,1110,937,931,317,466
Szőc,325,272,251,152,69
Szőce,247,193,192,116,55
Sződ,2484,2091,2085,893,1013
Sződliget,3740,3250,3238,1046,1897
Szőke,88,72,72,40,27
Szőkedencs,168,131,131,77,39
Szőkéd,286,208,200,79,104
Szőlősardó,98,82,82,34,40
Szőlősgyörök,974,781,776,375,327
Szűcsi,1206,1003,997,461,466
Szűr,200,150,146,26,55
Ságvár,1590,1260,1250,531,627
Ságújfalu,690,467,464,213,200
Sály,1104,659,650,375,216
Sámod,151,114,110,76,30
Sámsonháza,188,161,159,56,71
Sándorfalva,6569,5199,5179,1534,3131
Sántos,406,337,332,120,189
Sáp,632,382,379,239,97
Sárazsadány,157,122,120,47,65
Sárbogárd,11196,9210,9175,4020,4460
Sáregres,535,431,429,241,162
Sárfimizdó,65,55,55,42,7
Sárhida,562,456,453,244,162
Sárisáp,2230,1741,1735,496,1089
Sárkeresztes,1243,1051,1049,396,550
Sárkeresztúr,1772,1028,1009,613,279
Sárkeszi,471,380,378,161,180
Sármellék,1442,1102,1094,461,530
Sárok,78,62,62,19,21
Sárosd,2501,1843,1805,830,840
Sárospatak,8427,6507,6476,2259,3718
Sárpilis,427,314,307,161,122
Sárrétudvari,2174,1569,1560,802,658
Sárszentlőrinc,773,577,576,380,160
Sárszentmihály,2447,2008,2001,747,1064
Sárszentágota,1058,872,866,482,308
Sárvár,12885,11052,11011,3863,6383
Sáránd,1774,1302,1284,521,640
Sásd,2327,1733,1715,683,867
Sáska,223,193,193,99,79
Sáta,774,540,525,237,265
Sátoraljaújhely,13697,10864,10781,3304,6587
Sátorhely,487,382,380,177,164
Sávoly,308,243,237,125,104
Sé,1042,923,920,375,479
Sénye,49,45,44,9,29
Sényő,1157,875,872,386,422
Sérsekszőlős,109,85,85,45,37
Sóly,442,387,386,137,221
Sóshartyán,621,426,411,282,81
Sóskút,2870,2339,2323,722,1353
Sóstófalva,177,143,143,68,66
Sósvertike,106,79,77,46,25
Sótony,506,404,403,189,185
Söjtör,1109,821,816,313,408
Söpte,628,563,561,215,291
Söréd,433,370,366,162,170
Súr,961,705,704,320,317
Sükösd,2797,2036,2017,874,907
Sülysáp,6736,5376,5338,1974,2894
Sümeg,4461,3535,3522,1614,1606
Sümegcsehi,458,382,381,229,124
Sümegprága,479,396,393,194,144
Süttő,1579,1300,1296,445,717
Tab,3192,2474,2466,998,1302
Tabajd,740,617,616,324,252
Tabdi,844,680,675,333,286
Tagyon,80,73,72,31,34
Tahitótfalu,4975,4160,4140,1697,2076
Taksony,5323,4473,4435,1307,2510
Taktabáj,381,256,249,142,55
Taktaharkány,2563,1841,1809,883,786
Taktakenéz,768,481,468,332,95
Taktaszada,1322,914,899,556,273
Takácsi,656,548,548,260,249
Taliándörögd,500,404,404,181,178
Tamási,5946,4645,4626,1837,2376
Tanakajd,627,541,540,232,258
Tapolca,14295,12069,12027,4028,7070
Tapsony,386,271,271,137,116
Tar,1454,1087,1078,476,510
Tarany,865,636,624,259,332
Tarcal,2033,1493,1483,649,706
Tard,862,701,698,311,318
Tardona,791,615,612,199,363
Tardos,1300,1051,1043,327,638
Tarhos,601,449,447,208,205
Tarján,2101,1773,1763,554,868
Tarjánpuszta,359,313,312,107,157
Tarnabod,443,227,223,148,71
Tarnalelesz,1130,861,844,570,223
Tarnaméra,1250,1033,1032,356,605
Tarnaszentmiklós,558,350,347,176,152
Tarnaszentmária,182,146,146,78,53
Tarnazsadány,842,502,491,247,230
Tarnaörs,1221,812,801,508,252
Tarpa,1730,1165,1147,682,393
Tarrós,70,57,56,32,20
Tass,2196,1632,1622,908,588
Taszár,1382,1098,1096,309,686
Tata,17341,14506,14441,4732,8578
Tatabánya,53063,41601,41400,13398,24886
Tataháza,881,608,604,261,290
Tatárszentgyörgy,1426,995,988,585,339
Tekenye,347,280,279,162,88
Teklafalu,209,137,135,62,52
Telekes,353,273,271,163,90
Telekgerendás,1184,957,949,372,472
Teleki,143,98,96,52,35
Telki,3178,2875,2865,839,1841
Telkibánya,424,343,341,175,147
Tengelic,1669,1198,1186,578,510
Tengeri,46,35,35,14,19
Tengőd,306,228,226,126,71
Tenk,907,716,710,284,356
Terem,500,351,348,169,146
Tereske,565,412,405,211,150
Teresztenye,30,25,25,8,16
Terpes,130,101,98,68,14
Terény,260,219,214,112,65
Teskánd,1003,870,864,307,492
Tetétlen,1007,713,708,348,298
Tevel,997,711,705,291,332
Tibolddaróc,983,737,732,276,399
Tiborszállás,761,522,516,283,205
Tihany,1009,858,854,313,466
Tikos,94,66,64,42,21
Tilaj,123,109,108,65,35
Timár,880,552,543,293,207
Tinnye,1499,1266,1263,389,764
Tiszaadony,445,311,305,202,82
Tiszaalpár,3754,2724,2704,1218,1263
Tiszabecs,934,601,594,340,231
Tiszabercel,1337,987,972,602,319
Tiszabezdéd,1397,787,778,371,367
Tiszabura,1905,1083,1069,840,198
Tiszabábolna,226,185,185,80,91
Tiszabő,1350,1040,1039,1020,17
Tiszacsege,3453,2255,2212,1176,879
Tiszacsermely,319,168,160,67,70
Tiszacsécse,183,128,125,62,52
Tiszadada,1559,1126,1113,546,389
Tiszaderzs,785,565,564,333,177
Tiszadob,1947,1272,1231,531,570
Tiszadorogma,296,233,233,108,101
Tiszaeszlár,1806,1279,1199,591,405
Tiszaföldvár,7997,5744,5703,2204,2974
Tiszafüred,8132,6205,6135,2398,3218
Tiszagyenda,736,507,503,275,204
Tiszagyulaháza,535,374,372,151,177
Tiszaigar,510,356,354,201,129
Tiszainoka,312,248,236,135,85
Tiszajenő,1166,900,897,381,416
Tiszakanyár,1121,773,765,405,313
Tiszakarád,1669,890,874,540,277
Tiszakerecseny,644,379,371,222,116
Tiszakeszi,1900,1321,1298,617,601
Tiszakécske,8839,6843,6818,3093,3210
Tiszakóród,567,399,396,218,151
Tiszakürt,1011,719,715,368,302
Tiszaladány,465,390,385,201,157
Tiszalök,3928,2864,2840,1060,1589
Tiszalúc,3638,2384,2357,1022,1107
Tiszamogyorós,478,333,330,166,134
Tiszanagyfalu,1395,1008,999,464,485
Tiszanána,1685,1156,1135,598,451
Tiszapalkonya,1106,798,794,335,402
Tiszapüspöki,1548,1017,993,473,418
Tiszaroff,1287,890,884,474,340
Tiszarád,392,208,201,121,56
Tiszasas,790,568,566,253,267
Tiszaszalka,697,514,508,260,223
Tiszaszentimre,1433,993,988,505,416
Tiszaszentmárton,881,577,571,326,211
Tiszasziget,1465,1176,1169,419,628
Tiszaszőlős,1086,827,823,443,323
Tiszasüly,1062,751,744,400,277
Tiszatardos,186,133,132,72,57
Tiszatarján,1006,724,706,319,308
Tiszatelek,992,734,726,310,379
Tiszatenyő,1246,872,866,311,495
Tiszaug,611,470,463,219,211
Tiszavalk,244,205,204,73,110
Tiszavasvári,9122,6499,6422,2714,3245
Tiszavid,375,200,199,136,59
Tiszavárkony,1227,970,965,349,537
Tiszaörs,965,661,655,348,241
Tiszaújváros,14099,11764,11712,2968,7866
Tisztaberek,470,332,319,200,93
Tivadar,141,124,123,51,64
Tokaj,2719,2159,2136,753,1230
Tokod,3295,2491,2474,923,1377
Tokodaltáró,2214,1702,1676,644,894
Tokorcs,288,247,237,118,105
Tolcsva,1224,932,914,363,463
Told,235,126,112,67,27
Tolmács,595,502,502,212,251
Tolna,8555,6650,6621,2833,3289
Tolnanémedi,734,532,530,258,225
Tomajmonostora,492,360,359,204,137
Tomor,167,131,127,75,39
Tompa,3397,2194,2186,985,965
Tompaládony,246,207,204,127,63
Tordas,1623,1407,1401,456,825
Tormafölde,246,196,196,99,82
Tormás,188,139,137,78,51
Tormásliget,241,202,196,102,77
Tornabarakony,16,12,12,5,6
Tornakápolna,17,17,17,9,6
Tornanádaska,422,266,260,222,23
Tornaszentandrás,120,91,90,47,38
Tornaszentjakab,123,79,78,46,31
Tornyiszentmiklós,401,302,298,150,121
Tornyosnémeti,254,198,194,127,53
Tornyospálca,1819,1286,1275,621,581
Torony,1543,1273,1266,585,590
Torvaj,169,127,126,63,53
Trizs,144,118,117,54,46
Tunyogmatolcs,1794,1245,1240,648,533
Tura,6101,4678,4645,2171,2087
Tuzsér,2344,1617,1589,946,501
Tyukod,1439,994,983,551,339
Táborfalva,2625,1944,1936,751,1021
Tác,1372,1133,1125,481,538
Tákos,267,217,211,131,74
Tállya,1280,927,915,301,501
Táp,599,505,502,224,244
Tápióbicske,2818,2020,1982,870,887
Tápiógyörgye,2745,1839,1831,740,940
Tápiószecső,4831,3764,3739,1478,1947
Tápiószele,4671,3171,3106,1369,1494
Tápiószentmárton,4628,3499,3480,1632,1569
Tápiószőlős,2381,1674,1649,720,783
Tápióság,2176,1693,1682,644,902
Táplánszentkereszt,2050,1752,1739,746,870
Tápszentmiklós,716,590,587,214,331
Tárkány,1148,872,856,431,370
Tárnok,8234,6826,6781,2169,4022
Tárnokréti,153,122,122,58,55
Táska,247,192,192,127,52
Tát,4237,3449,3435,1121,2057
Tázlár,1289,985,975,500,364
Téglás,4975,3868,3843,1458,2079
Tékes,165,115,110,54,36
Tényő,1392,1169,1164,502,571
Tépe,754,600,595,301,259
Tés,690,573,569,263,255
Tésa,74,64,64,20,34
Tésenfa,129,89,87,47,24
Téseny,219,136,133,55,50
Tét,3200,2469,2448,1214,1001
Tóalmás,3177,2248,2210,954,1038
Tófalu,415,303,300,169,98
Tófej,512,413,412,198,167
Tófű,86,67,65,29,30
Tószeg,3484,2760,2755,935,1577
Tótkomlós,4290,3163,3139,1158,1710
Tótszentgyörgy,114,95,95,49,36
Tótszentmárton,603,460,460,190,227
Tótszerdahely,867,668,667,274,339
Tótvázsony,1089,914,909,350,445
Tótújfalu,168,122,122,67,35
Tök,1121,948,945,389,455
Tököl,8312,6650,6633,2227,3846
Töltéstava,1714,1455,1446,526,791
Tömörd,234,213,213,102,94
Tömörkény,1289,944,927,439,397
Törtel,3323,2319,2289,1105,1025
Törökbálint,10925,9268,9223,2776,5608
Törökkoppány,300,212,210,100,87
Törökszentmiklós,17970,13875,13703,4274,7822
Töttös,390,298,297,164,106
Túristvándi,507,369,367,217,132
Túrkeve,6313,4543,4498,1919,2224
Túrony,207,156,155,62,76
Túrricse,497,376,370,228,128
Türje,1211,871,867,437,365
Tüskevár,434,342,341,172,142
Udvar,96,82,81,43,24
Udvari,220,163,163,104,53
Ugod,999,772,763,325,341
Ukk,223,160,159,82,65
Und,257,222,222,105,95
Uppony,226,163,162,55,93
Ura,436,311,307,155,131
Uraiújfalu,676,527,524,225,255
Uszka,334,244,243,184,47
Uszód,696,531,524,237,249
Uzsa,247,213,211,69,123
Vadna,477,367,365,103,230
Vadosfa,62,57,57,38,16
Vaja,2567,1973,1948,1160,651
Vajdácska,925,616,612,293,273
Vajszló,1326,994,987,431,451
Vajta,591,434,429,187,191
Valkonya,46,39,39,14,18
Valkó,1931,1339,1331,680,555
Vanyarc,913,653,643,312,235
Vanyola,398,296,294,194,83
Varbó,851,698,694,220,414
Varbóc,44,38,38,18,14
Varga,57,46,45,30,12
Varsád,255,194,193,92,76
Varsány,1197,916,906,491,259
Varászló,85,62,60,38,18
Vasad,1590,1278,1263,548,605
Vasalja,251,208,207,112,84
Vasasszonyfa,345,302,300,153,121
Vasboldogasszony,452,380,378,206,156
Vasegerszeg,287,241,238,146,80
Vashosszúfalu,289,247,244,115,106
Vaskeresztes,257,230,224,106,65
Vaskút,2574,1970,1904,778,879
Vasmegyer,1294,858,849,453,345
Vaspör,290,251,250,148,92
Vassurány,589,504,500,257,204
Vasszentmihály,280,238,232,107,99
Vasszilvágy,326,274,271,127,117
Vasszécseny,1056,905,899,368,473
Vasvár,3193,2579,2563,1262,1131
Vaszar,1224,977,974,552,342
Vatta,677,551,547,245,268
Vecsés,18335,15358,15279,4802,9027
Vejti,115,88,87,53,27
Vekerd,86,71,71,39,25
Velem,317,279,277,114,126
Velemér,60,49,47,22,19
Velence,5699,4906,4888,1594,2901
Velény,103,69,67,17,45
Vereb,644,517,500,233,231
Veresegyház,15401,13481,13437,3831,8504
Verpelét,2828,2084,2060,1044,840
Verseg,1003,750,742,344,291
Versend,663,445,418,237,106
Verőce,3009,2570,2551,917,1363
Veszkény,756,673,667,332,286
Veszprém,43062,36574,36399,10556,22884
Veszprémfajsz,200,183,180,42,93
Veszprémgalsa,230,180,180,81,86
Veszprémvarsány,777,637,632,241,322
Vezseny,475,364,359,111,206
Vid,83,46,43,27,15
Vigántpetend,145,107,107,44,55
Villány,1695,1342,1329,562,625
Villánykövesd,173,148,147,61,51
Vilmány,899,482,466,325,127
Vilonya,562,450,448,156,252
Vilyvitány,190,135,134,65,57
Vindornyafok,91,75,75,46,23
Vindornyalak,58,39,39,18,13
Vindornyaszőlős,266,224,223,122,82
Vinár,171,149,149,78,56
Visegrád,1304,1062,1044,451,451
Visnye,152,116,115,46,45
Visonta,973,801,797,253,470
Viss,384,206,200,82,76
Visz,135,106,105,55,48
Viszló,49,44,44,24,17
Visznek,873,681,679,316,287
Viszák,205,188,187,99,72
Vitnyéd,1116,965,960,447,425
Vizslás,948,698,691,274,365
Vizsoly,579,433,431,257,128
Vokány,652,473,467,177,202
Vonyarcvashegy,1879,1565,1556,638,770
Vác,28170,23776,23662,8055,13628
Vácduka,1409,1165,1161,411,654
Vácegres,731,568,560,257,246
Váchartyán,1486,1220,1218,530,577
Váckisújfalu,386,329,327,139,154
Vácrátót,2054,1774,1764,641,999
Vácszentlászló,1756,1420,1411,584,684
Vág,409,302,299,138,137
Vágáshuta,74,55,55,29,21
Vál,2091,1726,1715,775,825
Vállaj,982,630,627,386,206
Vállus,88,73,71,28,35
Vámosatya,426,284,279,156,98
Vámoscsalád,239,202,201,122,66
Vámosgyörk,1554,1209,1201,481,587
Vámosmikola,1094,799,795,453,265
Vámosoroszi,367,277,275,208,51
Vámospércs,4158,3109,3087,1301,1557
Vámosszabadi,2235,1996,1989,594,1240
Vámosújfalu,554,462,454,193,195
Váncsod,889,618,611,319,272
Várad,112,76,75,31,43
Váralja,601,452,451,254,151
Váraszó,385,299,288,103,152
Várbalog,272,215,211,134,71
Várda,321,269,268,108,128
Várdomb,883,722,716,259,379
Várfölde,157,116,114,44,61
Várgesztes,509,437,433,108,251
Várkesző,140,113,113,44,61
Várong,96,69,67,35,21
Városföld,1646,1330,1330,618,584
Városlőd,1039,814,800,283,369
Várpalota,15247,12155,12093,3839,7177
Várvölgy,769,593,587,317,213
Vászoly,213,189,187,90,83
Vásárosbéc,148,117,113,37,62
Vásárosdombó,802,566,559,270,251
Vásárosfalu,131,104,103,49,44
Vásárosmiske,280,234,233,139,72
Vásárosnamény,9714,7965,7896,3030,4406
Vát,537,442,439,202,212
Vázsnok,92,66,66,35,25
Vécs,466,347,347,177,141
Végegyháza,934,624,611,260,300
Vékény,112,92,92,36,47
Véménd,1007,700,685,234,198
Vének,160,132,132,63,61
Vép,2613,2065,2057,953,950
Vértesacsa,1420,1131,1131,605,445
Vértesboglár,713,635,629,256,271
Vérteskethely,460,345,345,142,176
Vértessomló,1134,978,974,269,555
Vértesszőlős,2797,2169,2155,728,1256
Vértestolna,446,373,372,101,212
Vése,514,353,352,171,154
Vésztő,4897,3452,3412,1674,1464
Vízvár,389,285,280,96,153
Vöckönd,69,62,62,32,21
Völcsej,323,285,284,132,128
Vönöck,566,476,471,250,174
Vörs,318,264,264,134,106
Vöröstó,78,65,64,21,25
Zabar,309,195,193,128,53
Zagyvarékas,2761,1864,1850,840,838
Zagyvaszántó,1463,1164,1160,501,544
Zajk,152,121,120,63,50
Zajta,314,213,208,127,53
Zala,189,152,152,90,46
Zalaapáti,1155,886,881,461,338
Zalabaksa,453,343,341,168,145
Zalaboldogfa,294,248,248,125,107
Zalabér,531,415,409,182,188
Zalacsány,792,627,624,297,263
Zalacséb,363,296,295,113,156
Zalaegerszeg,45571,38054,37866,13408,21346
Zalaerdőd,193,148,148,60,77
Zalagyömörő,324,251,250,142,90
Zalahaláp,982,773,769,306,394
Zalaháshágy,292,250,249,127,96
Zalaigrice,71,54,54,38,14
Zalaistvánd,286,236,236,124,94
Zalakaros,1911,1521,1515,610,774
Zalakomár,2014,1386,1374,830,430
Zalaköveskút,29,27,27,15,9
Zalalövő,2193,1761,1750,902,686
Zalameggyes,51,33,33,19,12
Zalamerenye,138,109,108,47,53
Zalaszabar,402,297,290,148,110
Zalaszegvár,110,98,98,47,45
Zalaszentbalázs,645,537,536,212,292
Zalaszentgrót,4738,3760,3740,1641,1802
Zalaszentgyörgy,313,276,275,147,108
Zalaszentiván,770,638,633,307,285
Zalaszentjakab,221,160,160,86,60
Zalaszentlászló,558,423,420,201,161
Zalaszentlőrinc,206,170,170,100,55
Zalaszentmihály,754,559,559,255,267
Zalaszentmárton,63,52,52,29,14
Zalaszombatfa,30,27,27,9,16
Zalaszántó,725,585,577,284,243
Zalasárszeg,107,85,85,40,38
Zalatárnok,471,363,357,200,125
Zalavár,666,501,500,241,200
Zalavég,271,200,199,113,71
Zalaújlak,79,63,62,27,26
Zalkod,149,111,108,58,41
Zaláta,167,111,107,66,32
Zamárdi,1995,1625,1612,649,806
Zaránk,357,273,272,134,115
Zebecke,39,28,28,13,14
Zebegény,983,862,858,338,408
Zemplénagárd,446,270,265,147,83
Zengővárkony,323,287,284,128,98
Zichyújfalu,696,566,563,287,244
Zics,256,189,187,99,76
Ziliz,283,205,203,84,96
Zimány,387,277,276,109,144
Zirc,5036,4208,4187,1459,2359
Zomba,1547,1283,1278,616,557
Zsadány,1120,830,824,411,335
Zsana,532,426,425,173,170
Zsarolyán,321,231,229,131,88
Zsebeháza,122,106,105,52,47
Zselickisfalud,183,139,129,42,62
Zselickislak,317,248,245,103,118
Zselicszentpál,335,285,285,105,150
Zsennye,81,66,65,41,19
Zsira,516,432,430,183,208
Zsombó,2784,2316,2309,754,1311
Zsujta,194,157,155,111,34
Zsurk,509,361,357,150,173
Zsáka,1116,798,768,355,340
Zsámbok,1949,1466,1459,657,677
Zsámbék,4307,3651,3623,1375,1911
Zsédeny,173,138,137,50,72
Zubogy,373,305,305,105,171
Zádor,231,166,164,69,73
Zádorfalva,315,198,183,121,54
Záhony,3129,2352,2330,737,1425
Zákány,810,631,627,279,299
Zákányfalu,391,285,284,120,143
Zákányszék,2126,1666,1661,798,637
Zámoly,1815,1459,1453,593,678
Zánka,756,650,643,227,361
Závod,184,144,144,67,57
Zók,220,164,164,68,79
Ábrahámhegy,467,411,407,188,180
Ács,5463,4058,4028,1759,1977
Ácsteszér,549,426,421,207,182
Ádánd,1720,1328,1322,591,609
Ág,128,101,98,52,43
Ágasegyháza,1474,1124,1120,528,458
Ágfalva,1805,1535,1520,583,744
Álmosd,1349,983,966,476,426
Áporka,971,771,771,304,383
Ároktő,756,510,501,271,188
Árpádhalom,337,269,268,110,137
Árpás,225,186,185,89,76
Ártánd,551,359,353,230,97
Ásotthalom,3078,2224,2205,740,817
Ásványráró,1708,1381,1371,677,600
Ászár,1347,1080,1076,418,575
Áta,147,121,121,46,61
Átány,994,594,574,359,119
Écs,1709,1472,1470,539,781
Égerszög,42,39,39,23,11
Érd,57511,48621,48424,15362,29032
Érpatak,1293,930,925,463,408
Érsekcsanád,2197,1599,1589,695,712
Érsekhalma,442,331,327,109,184
Érsekvadkert,2714,2091,2081,966,930
Értény,506,329,328,271,44
Óbarok,712,539,532,195,284
Óbudavár,43,37,36,11,19
Óbánya,85,72,71,23,26
Ócsa,7678,6163,6143,2661,3015
Ócsárd,288,221,219,93,103
Ófalu,259,209,205,72,60
Ófehértó,1986,1341,1311,728,476
Óföldeák,380,280,280,127,122
Óhíd,420,324,321,115,179
Ólmod,80,62,61,34,21
Ónod,1685,1105,1093,403,574
Ópusztaszer,1475,1080,1074,398,558
Ópályi,2075,1357,1340,762,490
Ózd,26193,17526,17380,6685,8996
Ózdfalu,110,84,82,37,44
Öcs,163,119,119,56,50
Öcsöd,2258,1496,1476,703,596
Ököritófülpös,1243,826,816,521,249
Ölbő,532,434,431,220,183
Ömböly,345,200,199,112,78
Öregcsertő,566,416,414,153,210
Öreglak,1070,751,724,353,295
Örkény,3691,2461,2448,1102,1119
Örményes,779,617,609,215,338
Örménykút,240,187,182,96,71
Örvényes,137,123,123,54,51
Öskü,1759,1432,1428,529,762
Öttevény,2337,1987,1967,791,1009
Öttömös,523,399,399,159,195
Ötvöskónyi,600,424,412,241,144
Újbarok,398,326,325,123,138
Újcsanálos,576,415,415,196,188
Újdombrád,480,376,376,167,170
Újfehértó,9601,7513,7492,3050,3958
Újhartyán,2287,1965,1952,735,901
Újireg,190,148,148,64,77
Újiráz,358,265,263,129,117
Újkenéz,702,467,458,267,165
Újkér,759,637,636,350,222
Újkígyós,3901,3020,2994,1203,1515
Újlengyel,1468,1218,1183,548,524
Újléta,795,501,488,248,219
Újlőrincfalva,172,127,127,55,61
Újpetre,762,578,569,180,310
Újrónafő,629,493,491,204,237
Újsolt,136,110,109,34,53
Újszalonta,75,50,50,26,17
Újszentiván,1574,1291,1281,396,780
Újszentmargita,1066,681,678,350,269
Újszilvás,2105,1560,1552,767,656
Újszász,4694,3462,3432,1440,1670
Újtelek,269,225,224,121,90
Újtikos,650,488,487,199,236
Újudvar,767,595,593,221,324
Újvárfalva,160,109,108,77,30
Úny,575,464,462,196,228
Úrhida,2140,1855,1846,580,1076
Úri,2015,1627,1614,660,788
Úrkút,1564,1247,1240,412,609
Üllés,2499,1900,1894,727,982
Üllő,9922,8118,8101,2816,4598
Üröm,6306,5534,5518,1545,3515
Őcsény,1822,1392,1383,550,700
Őr,1122,783,775,390,319
Őrbottyán,6411,5389,5362,1892,3030
Őrhalom,817,626,619,239,295
Őrimagyarósd,159,127,127,72,47
Őriszentpéter,852,709,704,293,345
Őrtilos,350,275,274,140,110
Ősagárd,253,237,235,94,105
Ősi,1566,1258,1248,505,630
